?property	?propertyType	?propertyLabel	?propertyDescription	?propertyAltLabel
<http://www.wikidata.org/entity/P6>		head of government@en	head of the executive power of this town, city, municipality, state, country, or other governmental body@en	president, chancellor, mayor, prime minister, governor, premier, first minister, executive power headed by, government headed by, head of national government@en
<http://www.wikidata.org/entity/P17>		country@en	sovereign state of this item (not to be used for human beings)@en	state, land, sovereign state, host country@en
<http://www.wikidata.org/entity/P19>		"place of birth"@en	"most specific known (e.g. city instead of country, or hospital instead of city) birth location of a person, animal or fictional character"@en	"birth location, birthplace, location of birth, POB, birth city, birth place, born at, born in, location born"@en
<http://www.wikidata.org/entity/P20>		"place of death"@en	"most specific known (e.g. city instead of country, or hospital instead of city) death location of a person, animal or fictional character"@en	"POD, deathplace, location of death, death location, death place, died in, killed in"@en
<http://www.wikidata.org/entity/P26>		spouse@en	the subject has the object as their spouse (husband, wife, partner, etc.). Use \unmarried partner\" (P451) for non-married companions"@en	husband, married to, husbands, marriage partner, married, marry, martial partner, spouses, wed, wedded to, wife, wives@en
<http://www.wikidata.org/entity/P27>		country of citizenship@en	the object is a country that recognizes the subject as its citizen@en	citizenship, (legal) nationality, citizen of, national of, subject of (country)@en
<http://www.wikidata.org/entity/P30>		continent@en	continent of which the subject is a part@en	
<http://www.wikidata.org/entity/P35>		head of state@en	official with the highest formal authority in a country/state@en	leader, president, king, queen, monarch, emperor, governor, state headed by, chief of state@en
<http://www.wikidata.org/entity/P36>		capital@en	seat of government of a country, province, state or other type of administrative territorial entity@en	seat, chef-lieu, seat of government, county town, county seat, administrative capital, administrative centre, administrative headquarters, administrative seat, capital city, capital town, court residence, government capital, has capital, principal place@en
<http://www.wikidata.org/entity/P37>		official language@en	language designated as official by this item@en	speaking, language official, language spoken, spoken in@en
<http://www.wikidata.org/entity/P38>		currency@en	currency used by item@en	base currency, used money@en
<http://www.wikidata.org/entity/P39>		position held@en	subject currently or formerly holds the object position or public office@en	function, held position, holds position, office held, political office held, political seat, position occupied, public office@en
<http://www.wikidata.org/entity/P47>		shares border with@en	countries or administrative subdivisions, of equal level, that this item borders, either by land or water. A single common point is enough.@en	border, adjacent to, bordered by, next to, borders clockwise@en
<http://www.wikidata.org/entity/P50>		author@en	main creator(s) of a written work (use on works, not humans); use P2093 when Wikidata item is unknown or does not exist@en	writer, authors, creator, written by, by, writers, author(s), writer(s)@en
<http://www.wikidata.org/entity/P53>		family@en	family, including dynasty and nobility houses. Not family name (use P734 for family name).@en	house@en
<http://www.wikidata.org/entity/P54>		member of sports team@en	sports teams or clubs that the subject currently represents or formerly represented@en	team, sport team, player of, club played for, member of team, of team, part of team, played for, plays for, team played for, teams played for@en
<http://www.wikidata.org/entity/P57>		director@en	director(s) of film, TV-series, stageplay, video game or similar@en	film director, movie director, directed by@en
<http://www.wikidata.org/entity/P58>		screenwriter@en	person(s) who wrote the script for subject item@en	written by, scriptwriter, film script by, screenplay by, teleplay by, writer (of screenplays), writing credits@en
<http://www.wikidata.org/entity/P69>		educated at@en	educational institution attended by subject@en	faculty, education, alma mater, alumna of, alumni of, alumnus of, attended, attended school at, college attended, education place, graduate of, graduated from, place of education, school attended, schooled at, schooling place, studied at, university attended, went to school at@en
<http://www.wikidata.org/entity/P85>		anthem@en	subject's official anthem@en	national anthem, march, official song, official hymn@en
<http://www.wikidata.org/entity/P97>		noble title@en	titles held by the person@en	title of nobility, peerage, nobility title, hereditary title, royal title, royal and noble ranks, title (hereditary)@en
<http://www.wikidata.org/entity/P102>		member of political party@en	the political party of which this politician is or has been a member or otherwise affiliated@en	political party, party, member of, member of party, party membership, political party member@en
<http://www.wikidata.org/entity/P108>		employer@en	person or organization for which the subject works or worked@en	employed by, worked at, worked for, working at, working for, working place, works at, works for@en
<http://www.wikidata.org/entity/P119>		place of burial@en	location of grave, resting place, place of ash-scattering, etc. (e.g., town/city or cemetery) for a person or animal. There may be several places: e.g., re-burials, parts of body buried separately.@en	tomb, ashes scattered at, burial location, burial place, buried at, buried in, entombed at, grave at, interment, interment location, interment place, interred at, location of burial, place of grave, place of interment, remains at, resting place@en
<http://www.wikidata.org/entity/P122>		basic form of government@en	subject's government@en	form of government, government, type of government@en
<http://www.wikidata.org/entity/P127>		owned by@en	owner of the subject@en	proprietor, owner, provenance, shareholder, stockholder, belonged to, belongs to, is owned by, is owner of, owners, shareholders, stockholders@en
<http://www.wikidata.org/entity/P131>		located in the administrative territorial entity@en	the item is located on the territory of the following administrative entity. Use P276 for specifying locations that are non-administrative places and for items about events. Use P1382 if the item falls only partially into the administrative entity.@en	city, town, locality, administrative territorial entity, territory, state, region, administrative territory, based in, happens in, in, in administrative unit, in the administrative unit, Indian reservation, is in administrative unit, is in the administrative region of, is in the administrative unit, is in the arrondissement of, is in the borough of, is in the city of, is in the commune of, is in the county of, is in the department of, is in the district of, is in the Indian reservation of, is in the Indian reserve of, is in the local government area of, is in the municipality of, is in the parish of, is in the prefecture of, is in the principal area of, is in the province of, is in the region of, is in the rural city of, is in the settlement of, is in the shire of, is in the state of, is in the territory of, is in the town of, is in the village of, is in the voivodeship of, is in the ward of, is located in, located in administrative unit, located in the administrative territorial entity, located in the administrative unit, located in the territorial entity, location (administrative territorial entity)@en
<http://www.wikidata.org/entity/P150>		contains administrative territorial entity@en	(list of) direct subdivisions of an administrative territorial entity@en	contains, divided into, divides into, has administrative divisions, has arrondissements, has boroughs, has cities, has counties, has countries, has districts, has local government areas, has members, has municipalities, has regions, has rural cities, has shires, has states, has towns, has villages, has wards, subdivided into@en
<http://www.wikidata.org/entity/P159>		headquarters location@en	city, where an organization's headquarters is or has been situated. Use P276 qualifier for specific building@en	seat, HQ, based in, headquarters, garrison, admin HQ, head office location, head quarters, HQ location, principle office, location of headquarters@en
